Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Croatia,HRV,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,15440
Croatia,HRV,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,15375.9997558594
Croatia,HRV,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,15088.0004882813
Croatia,HRV,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,15673.0004882813
Croatia,HRV,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,13310
Croatia,HRV,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,13260.9997558594
Croatia,HRV,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,13338.0004882813
Croatia,HRV,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,12995.9997558594
Croatia,HRV,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,12890.9997558594
Croatia,HRV,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,12020
Croatia,HRV,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,12300
Croatia,HRV,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,12110
Croatia,HRV,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,11760
Croatia,HRV,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,11960
Croatia,HRV,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,11810
Croatia,HRV,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,11780
Croatia,HRV,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,11690
Croatia,HRV,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,20320
Croatia,HRV,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,20480
Croatia,HRV,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,19410
Croatia,HRV,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,19350
Croatia,HRV,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,23320
Croatia,HRV,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,23120
Croatia,HRV,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,22720
Croatia,HRV,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,24040
Croatia,HRV,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.5911365260901
Croatia,HRV,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.4767686845236
Croatia,HRV,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.962116669552
Croatia,HRV,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0075062335263
Croatia,HRV,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.7848463187991
Croatia,HRV,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.6972833378474
Croatia,HRV,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.8348829311674
Croatia,HRV,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.2237308003206
Croatia,HRV,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.0360967760175
Croatia,HRV,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.4796283059328
Croatia,HRV,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.9799857040743
Croatia,HRV,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.6404574696212
