Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Croatia,HRV,2018,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,309749075.666032
Croatia,HRV,2017,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,307268071.294387
Croatia,HRV,2016,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,268810881.525415
Croatia,HRV,2015,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,267797245.1355
Croatia,HRV,2014,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,275923004.798373
Croatia,HRV,2013,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,281039802.563607
Croatia,HRV,2012,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,307359863.576621
Croatia,HRV,2011,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,262522045.516115
Croatia,HRV,2010,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,224818850.108117
Croatia,HRV,2009,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,212549037.243288
Croatia,HRV,2008,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,258568228.66307
Croatia,HRV,2007,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,213380931.272773
Croatia,HRV,2006,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,174576184.34987
Croatia,HRV,2005,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,192471243.630267
Croatia,HRV,2004,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,145543060.758548
Croatia,HRV,2003,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,130566178.064342
Croatia,HRV,2002,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,77129142.0070248
Croatia,HRV,2001,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,62432078.2431838
Croatia,HRV,2000,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,60498720.4018211
Croatia,HRV,1999,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50405741.8
Croatia,HRV,1998,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,47156607.895
Croatia,HRV,1997,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,31062059.58
Croatia,HRV,1996,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,33302142.852
Croatia,HRV,1995,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,45820000
Croatia,HRV,1994,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,27172000
Croatia,HRV,1993,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11718000
Croatia,HRV,2018,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,63203119.5419157
Croatia,HRV,2017,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,54011670.581101
Croatia,HRV,2016,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,52486415.7748174
Croatia,HRV,2015,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,45646687.9936348
Croatia,HRV,2014,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,26128571.9525413
Croatia,HRV,2013,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,24131535.7914085
Croatia,HRV,2012,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,29576838.4522372
Croatia,HRV,2011,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,24351839.6371681
Croatia,HRV,2010,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,31483800.6275831
Croatia,HRV,2009,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,32306403.9394289
Croatia,HRV,2008,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,43649606.0029907
Croatia,HRV,2007,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,39706517.5288691
Croatia,HRV,2006,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,47351985.9489924
Croatia,HRV,2005,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,72866305.3291018
Croatia,HRV,2004,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,40988600.7753565
Croatia,HRV,2003,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,34708161.676709
Croatia,HRV,2002,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,85368537.0933903
Croatia,HRV,2001,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,106686573.525439
Croatia,HRV,2000,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,66179891.3908709
Croatia,HRV,1999,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,81888265.325
Croatia,HRV,1998,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,41601188.066
Croatia,HRV,1997,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,18925697.727
Croatia,HRV,1996,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2541883.073
Croatia,HRV,1995,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2239000
Croatia,HRV,1994,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2270000
Croatia,HRV,1993,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1942000
Croatia,HRV,2017,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.87006
Croatia,HRV,2016,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.86748
Croatia,HRV,2015,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.84186
Croatia,HRV,2014,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.78324
Croatia,HRV,2013,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.81117
Croatia,HRV,2012,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.75007
Croatia,HRV,2011,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.7507
Croatia,HRV,2010,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.74265
Croatia,HRV,2009,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.84425
Croatia,HRV,2008,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.88413
Croatia,HRV,2007,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.79225
Croatia,HRV,2006,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.74009
Croatia,HRV,2005,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.85558
