Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Croatia,HRV,2010,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,104.4424362
Croatia,HRV,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,104.4424362
Croatia,HRV,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,104.4424362
Croatia,HRV,2010,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.185436876
Croatia,HRV,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.185436876
Croatia,HRV,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.185436876
Croatia,HRV,2010,Urban land area (sq. km),AG.LND.TOTL.UR.K2,5302.795898
Croatia,HRV,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,5302.795898
Croatia,HRV,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,5302.795898
Croatia,HRV,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Croatia,HRV,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
